allocated CHIP memory @0x7a080, size 768 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x7a380, size 768 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x7a680, size 768 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated FAST memory @0x21f548, size 8 (D:\prg\_git\ace\ace\utils\bitmapmask.c:12)
allocated CHIP memory @0x7a980, size 768 (D:\prg\_git\ace\ace\utils\bitmapmask.c:30)
allocated FAST memory @0x2eab40, size 20 (D:\prg\_git\openfire\src\gamestates\game\bob.c:12)
allocated FAST memory @0x2eab58, size 40 (D:\prg\_git\ace\ace\utils\bitmap.c:15)
allocated CHIP memory @0x7ac80, size 256 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x7ad80, size 256 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x7ae80, size 256 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x7af80, size 256 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x7b080, size 256 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
freed memory 0x79a80, size 768 (D:\prg\_git\ace\ace\utils\bitmap.c:105)
freed memory 0x79d80, size 768 (D:\prg\_git\ace\ace\utils\bitmap.c:105)
freed memory 0x7a080, size 768 (D:\prg\_git\ace\ace\utils\bitmap.c:105)
freed memory 0x7a380, size 768 (D:\prg\_git\ace\ace\utils\bitmap.c:105)
freed memory 0x7a680, size 768 (D:\prg\_git\ace\ace\utils\bitmap.c:105)
freed memory 0x2ea968, size 40 (D:\prg\_git\ace\ace\utils\bitmap.c:106)
freed memory 0x7a980, size 768 (D:\prg\_git\ace\ace\utils\bitmapmask.c:48)
freed memory 0x21f548, size 8 (D:\prg\_git\ace\ace\utils\bitmapmask.c:49)
freed memory 0x7ac80, size 256 (D:\prg\_git\ace\ace\utils\bitmap.c:105)
freed memory 0x7ad80, size 256 (D:\prg\_git\ace\ace\utils\bitmap.c:105)
freed memory 0x7ae80, size 256 (D:\prg\_git\ace\ace\utils\bitmap.c:105)
freed memory 0x7af80, size 256 (D:\prg\_git\ace\ace\utils\bitmap.c:105)
freed memory 0x7b080, size 256 (D:\prg\_git\ace\ace\utils\bitmap.c:105)
freed memory 0x2eab58, size 40 (D:\prg\_git\ace\ace\utils\bitmap.c:106)
freed memory 0x2eab40, size 20 (D:\prg\_git\openfire\src\gamestates\game\bob.c:40)
allocated FAST memory @0x2ea968, size 40 (D:\prg\_git\ace\ace\utils\bitmap.c:15)
allocated CHIP memory @0x668, size 48 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x698, size 48 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x79a80, size 48 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x79ab0, size 48 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x79ae0, size 48 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated FAST memory @0x21f548, size 8 (D:\prg\_git\ace\ace\utils\bitmapmask.c:12)
allocated CHIP memory @0x79b10, size 48 (D:\prg\_git\ace\ace\utils\bitmapmask.c:30)
allocated FAST memory @0x2eac30, size 20 (D:\prg\_git\openfire\src\gamestates\game\bob.c:12)
allocated FAST memory @0x2eac48, size 40 (D:\prg\_git\ace\ace\utils\bitmap.c:15)
allocated CHIP memory @0x79b40, size 48 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x79b70, size 48 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x79ba0, size 48 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x79bd0, size 48 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x79c00, size 48 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated FAST memory @0x2ead00, size 40 (D:\prg\_git\ace\ace\utils\bitmap.c:15)
allocated CHIP memory @0x79c30, size 24 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x79c48, size 24 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x79c60, size 24 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x79c78, size 24 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x79c90, size 24 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated FAST memory @0x21f5f8, size 8 (D:\prg\_git\ace\ace\utils\bitmapmask.c:12)
allocated CHIP memory @0x79ca8, size 24 (D:\prg\_git\ace\ace\utils\bitmapmask.c:30)
allocated FAST memory @0x2ead88, size 20 (D:\prg\_git\openfire\src\gamestates\game\bob.c:12)
allocated FAST memory @0x2eada0, size 40 (D:\prg\_git\ace\ace\utils\bitmap.c:15)
allocated CHIP memory @0x79cc0, size 24 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x79cd8, size 24 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x79cf0, size 24 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x79d08, size 24 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x79d20, size 24 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated FAST memory @0x2eae58, size 40 (D:\prg\_git\ace\ace\utils\bitmap.c:15)
